Ticker,Weight,Sector,Score,Price
GM,0.009547839495804398,Consumer Cyclical,0.8246573155372436,84.0
CDW,0.00954326243477697,Technology,0.824261989781968,126.38999938964844
SNA,0.009492615885480112,Industrials,0.8198875920553698,366.1099853515625
MRK,0.00948757020801484,Healthcare,0.819451791387019,110.2699966430664
ADM,0.009436220328500137,Consumer Defensive,0.815016646262055,67.30999755859375
TXT,0.009414954739132916,Industrials,0.8131799141041048,88.05999755859375
NCLH,0.009308057468364375,Consumer Cyclical,0.8039470801850825,21.959999084472656
MDLZ,0.009267368267712652,Consumer Defensive,0.800432709526092,58.470001220703125
ABT,0.00926319322554144,Healthcare,0.8000721065780976,109.30000305175781
NXPI,0.009262702139535672,Technology,0.8000296909439226,226.13999938964844
USB,0.009225484650837315,Financial Services,0.7968151758345607,56.11000061035156
ESS,0.00918634694612957,Real Estate,0.7934348095731923,251.8699951171875
CMCSA,0.009173922527110537,Communication Services,0.792361698945406,29.75
MAS,0.00917107590744835,Industrials,0.7921158332990462,66.08999633789062
CHTR,0.00915018986736942,Communication Services,0.7903118832272775,206.1199951171875
SPG,0.009143458687674764,Real Estate,0.7897305038922108,191.30999755859375
REGN,0.009138848327856525,Healthcare,0.7893323020840383,741.4500122070312
COP,0.009133233326458816,Energy,0.7888473282864156,104.2300033569336
LDOS,0.00910933336164148,Technology,0.7867830622462962,188.27999877929688
GDDY,0.009080153005578871,Technology,0.7842627230525356,100.5199966430664
CVS,0.009042198887871857,Healthcare,0.7809845844919111,74.5199966430664
VZ,0.009018600234416148,Communication Services,0.7789463430428764,44.52000045776367
PFE,0.009009759064067958,Healthcare,0.7781827215127124,26.440000534057617
DE,0.009007615774623615,Industrials,0.7779976032647185,528.0
EQR,0.00899031298321553,Real Estate,0.7765031422905722,62.31999969482422
URI,0.008948049817051901,Industrials,0.7728528265128595,782.0599975585938
CSX,0.008898843226981541,Industrials,0.7686027996358895,37.7599983215332
FIS,0.008876740301111071,Technology,0.76669374581048,55.25
HCA,0.008796009461666728,Healthcare,0.7597209351168677,488.2699890136719
CPAY,0.008779956854840997,Technology,0.758334453949259,314.6300048828125
PNW,0.008771082385701998,Utilities,0.7575679563661983,93.55999755859375
PSA,0.008750497656984692,Real Estate,0.7557900308855139,276.19000244140625
AVB,0.008727334321176013,Real Estate,0.7537893882966574,177.6699981689453
OMC,0.008379125996591396,Communication Services,0.7237142553489517,77.04000091552734
MGM,0.008317171206572452,Consumer Cyclical,0.7183631525320111,33.540000915527344
EIX,0.0082800877241595,Utilities,0.715160211691743,62.279998779296875
NVR,0.008137982247851538,Consumer Cyclical,0.7028864066422591,7635.72998046875
FOXA,0.00804008262328452,Communication Services,0.6944307092435944,72.77999877929688
EVRG,0.007881969479286679,Utilities,0.6807743044687017,76.7300033569336
DTE,0.007747131207815,Utilities,0.6691281758306595,134.3800048828125
ED,0.007565798959649742,Utilities,0.6534663116929135,106.62999725341797
CCL,0.007088423133349892,Consumer Cyclical,0.6122348406787852,30.020000457763672
GPC,0.007017136086976988,Consumer Cyclical,0.6060777006975057,138.99000549316406
BRK-B,0.0060321661379443975,Financials,0.5210047714331413,480.5299987792969
BF-B,0.005692586739495895,Consumer Staples,0.49167492825140885,27.3700008392334
